BA,OBPct,AB,H,2B,3B,HR,SLG,OPS
0.291,0.386,"11,768","3,427",682,100,158,0.4863188307,0.8723188307
0.284,0.363,"11,931","3,394",649,108,118,0.459978208,0.822978208
0.29,0.38,"17,631","5,113",940,148,318,0.4939595031,0.8739595031
0.297,0.397,"8,580","2,548",506,56,140,0.4997668998,0.8967668998
0.303,0.4,"11,352","3,443",661,82,309,0.5502995067,0.9502995067
0.276,0.369,"10,196","2,814",503,60,139,0.4468418988,0.8158418988
0.296,0.383,"12,995","3,853",685,85,181,0.4772604848,0.8602604848
0.3,0.389,"13,689","4,101",763,128,259,0.5147928994,0.9037928994
0.292,0.381,"6,769","1,978",399,73,84,0.4920963215,0.8730963215
0.271,0.368,"5,452","1,480",244,46,61,0.4310344828,0.7990344828
0.245,0.334,"3,575",877,141,28,23,0.3734265734,0.7074265734
0.269,0.365,"8,711","2,342",461,49,109,0.4416255309,0.8066255309
0.281,0.375,"10,431","2,936",525,78,101,0.4432940274,0.8182940274
0.279,0.372,"13,016","3,631",686,93,162,0.4555931162,0.8275931162
0.298,0.386,"9,615","2,864",548,89,108,0.4845553822,0.8705553822
0.284,0.373,"11,114","3,155",569,78,139,0.4573510887,0.8303510887
0.294,0.385,"12,157","3,569",725,110,197,0.5048120424,0.8898120424
0.299,0.385,"10,600","3,165",608,78,129,0.4840566038,0.8690566038
0.312,0.402,"10,482","3,274",652,66,110,0.497614959,0.899614959
0.275,0.368,"9,974","2,744",469,60,113,0.4325245639,0.8005245639
0.28,0.368,"13,031","3,655",642,104,105,0.4351930013,0.8031930013
0.285,0.378,"10,545","3,010",588,84,114,0.4641062115,0.8421062115
0.281,0.373,"12,135","3,406",593,94,129,0.4441697569,0.8171697569
0.281,0.366,"16,107","4,534",771,110,174,0.4409263053,0.8069263053
0.308,0.399,"13,384","4,122",788,115,260,0.5292139868,0.9282139868
0.298,0.389,"12,150","3,618",654,99,132,0.4733333333,0.8623333333
0.285,0.379,"10,434","2,969",585,81,149,0.4770941154,0.8560941154
0.285,0.385,"11,453","3,268",605,107,134,0.4658168166,0.8508168166
0.277,0.37,"10,905","3,024",546,82,192,0.4704264099,0.8404264099
0.295,0.382,"13,757","4,054",759,127,172,0.4827360616,0.8647360616
0.251,0.337,"5,764","1,444",235,59,15,0.3731783484,0.7101783484
0.276,0.363,"12,835","3,538",704,64,168,0.4526684846,0.8156684846
0.297,0.38,"13,992","4,162",742,92,144,0.4644082333,0.8444082333
0.289,0.374,"16,543","4,774",925,107,220,0.4730097322,0.8470097322
0.291,0.378,"11,807","3,433",582,92,139,0.4598119759,0.8378119759
0.29,0.389,"11,663","3,386",553,79,148,0.4562291006,0.8452291006
0.284,0.388,"9,635","2,738",454,76,135,0.4581214323,0.8461214323
0.287,0.374,"12,563","3,607",724,116,146,0.4765581469,0.8505581469
0.279,0.368,"11,420","3,185",548,109,82,0.4322241681,0.8002241681
0.263,0.363,"11,943","3,146",551,77,201,0.442351168,0.805351168
0.272,0.364,"8,575","2,330",444,71,99,0.4462973761,0.8102973761
0.299,0.391,"6,646","1,985",347,72,96,0.4933794764,0.8843794764
0.293,0.384,"10,498","3,077",599,93,122,0.4802819585,0.8642819585
0.284,0.38,"17,145","4,876",830,158,160,0.4461942257,0.8261942257
0.287,0.37,"9,220","2,647",509,76,148,0.4864425163,0.8564425163